일련번호,발령일,발령시간,발령지역,발령권역,농도,해제날짜,해제시간
128,2024-04-17,12:00,경남,창녕권역,167,2024-04-18,18:00
129,2024-04-17,11:00,경남,창원권역,222,2024-04-18,19:00
130,2024-04-17,12:00,경남,통영권역,305,2024-04-18,18:00
131,2024-04-17,12:00,경남,하동권역,241,2024-04-18,00:00
132,2024-04-17,11:00,경남,함안권역,191,2024-04-18,04:00
133,2024-04-17,12:00,경남,함양권역,254,2024-04-18,01:00
134,2024-04-17,14:00,경북,동부권역,333,2024-04-19,10:00
135,2024-04-16,19:00,강원,영동북부,341,2024-04-19,00:00
136,2024-04-16,16:00,대구,군위권역,189,2024-04-17,00:00
137,2024-04-16,15:00,경기,남부권,183,2024-04-18,19:00
138,2024-04-16,17:00,충북,남부권역,182,2024-04-17,03:00
139,2024-04-16,19:00,대구,대구권역,158,2024-04-18,17:00
140,2024-04-16,16:00,경기,동부권,190,2024-04-17,04:00
141,2024-04-16,19:00,경북,동부권역,161,2024-04-17,14:00
142,2024-04-16,17:00,전북,동부권역,179,2024-04-17,00:00
143,2024-04-16,15:00,충북,북부권역,199,2024-04-19,00:00
144,2024-04-16,17:00,경북,서부권역,182,2024-04-18,17:00
145,2024-04-16,16:00,서울,서울권역,162,2024-04-17,05:00
146,2024-04-16,19:00,세종,세종권역,178,2024-04-17,00:00
147,2024-04-16,17:00,강원,영동남부,182,2024-04-17,12:00
148,2024-04-16,14:00,강원,영동북부,160,2024-04-16,19:00
149,2024-04-16,16:00,강원,영서남부,202,2024-04-17,07:00
150,2024-04-16,16:00,강원,영서북부,192,2024-04-17,05:00
151,2024-04-16,15:00,경기,중부권,160,2024-04-17,02:00
152,2024-04-16,16:00,충북,중부권역,174,2024-04-17,04:00
153,2024-04-16,20:00,경남,함양권역,182,2024-04-17,01:00
154,2024-03-29,21:00,경남,함양권역,169,2024-03-30,06:00
155,2024-03-29,12:00,경남,합천권역,208,2024-03-29,15:00
156,2024-03-29,12:00,인천,강화권역,108,2024-03-29,13:00
157,2024-03-29,12:00,경남,거제권역,226,2024-03-29,16:00
158,2024-03-29,11:00,경남,거창권역,247,2024-03-29,14:00
159,2024-03-29,21:00,경남,거창권역,155,2024-03-29,23:00
160,2024-03-29,12:00,경남,고성권역,232,2024-03-29,15:00
161,2024-03-29,12:00,대구,군위권역,212,2024-03-29,15:00
162,2024-03-29,19:00,대구,군위권역,237,2024-03-30,03:00
163,2024-03-29,13:00,경남,김해권역,252,2024-03-29,15:00
164,2024-03-29,03:00,경기,남부권,312,2024-03-29,04:00
165,2024-03-29,14:00,경기,남부권,129,2024-03-29,16:00
166,2024-03-29,13:00,부산,남부권역,260,2024-03-29,16:00
167,2024-03-29,11:00,충북,남부권역,266,2024-03-29,15:00
168,2024-03-29,12:00,대구,대구권역,226,2024-03-29,16:00
169,2024-03-29,22:00,대구,대구권역,155,2024-03-30,04:00
170,2024-03-29,01:00,인천,동남부권역,266,2024-03-29,03:00
171,2024-03-29,12:00,인천,동남부권역,102,2024-03-29,13:00
172,2024-03-29,07:00,충남,동남부권역,165,2024-03-29,14:00
173,2024-03-29,02:00,경기,동부권,274,2024-03-29,04:00
174,2024-03-29,15:00,경기,동부권,116,2024-03-29,22:00
175,2024-03-29,12:00,경북,동부권역,189,2024-03-30,03:00
176,2024-03-29,11:00,대전,동부권역,316,2024-03-29,12:00
177,2024-03-29,13:00,부산,동부권역,272,2024-03-29,17:00
178,2024-03-29,11:00,전북,동부권역,281,2024-03-29,14:00
179,2024-03-29,13:00,경남,밀양권역,282,2024-03-29,16:00
180,2024-03-29,01:00,경기,북부권,224,2024-03-29,04:00
181,2024-03-29,14:00,경기,북부권,117,2024-03-29,20:00
182,2024-03-29,03:00,충남,북부권역,238,2024-03-29,06:00
183,2024-03-29,13:00,충남,북부권역,103,2024-03-29,14:00
184,2024-03-29,05:00,충북,북부권역,194,2024-03-29,12:00
185,2024-03-29,11:00,경남,사천권역,202,2024-03-29,15:00
186,2024-03-29,12:00,경북,서부권역,218,2024-03-29,16:00
187,2024-03-29,19:00,경북,서부권역,189,2024-03-30,05:00
188,2024-03-29,11:00,대전,서부권역,310,2024-03-29,14:00
189,2024-03-29,13:00,부산,서부권역,250,2024-03-29,16:00
190,2024-03-29,01:00,인천,서부권역,254,2024-03-29,03:00
191,2024-03-29,12:00,인천,서부권역,113,2024-03-29,13:00
192,2024-03-29,03:00,충남,서부권역,225,2024-03-29,11:00
